Industry_Type,Year,Energy_Consumption_MWh,Fuel_Consumption_Tons,Production_Output_Tons,Renewable_Energy_Percentage,Operating_Hours,Emission_Control_Index,Carbon_Emissions_tCO2
Textile,2020,25845.57,606.68,19811.82,29.41,7512,8.56,10761.6
Cement,2017,7277.48,7277.57,72207.86,0.32,2887,7.47,18376.32
Automobile,2010,17380.35,330.89,46413.68,13.58,4685,5.5,7345.92
Cement,2002,9792.54,1828.1,44893.95,11.62,2418,3.46,7548.46
Paper,2024,41149.41,9877.1,60851.72,45.11,3603,8.89,37375.65
Chemical,2022,45780.32,3672.76,16569.08,28.63,6238,7.99,26577.22
Automobile,2001,27077.7,8222.94,89917.24,9.58,4771,8.54,28867.43
Textile,2008,36524.32,3823.26,47045.79,15.41,6862,2.27,23958.32
Chemical,2013,6512.51,8416.28,37286.16,30.24,6100,3.83,19777.25
Steel,2003,30622.46,9657.85,13542.37,1.18,6061,4.82,34401.78
Textile,2008,35288.16,4411.81,17627.47,25.45,6110,8.55,23541.65
Power,2012,22912.02,5637.56,92115.67,40.68,6309,9.04,20001.04
Steel,2017,12542.02,6323.53,46205.09,31.07,3018,3.56,17885.68
Steel,2014,43930.04,9354.86,72496.21,35.89,3036,7.18,38052.01
Power,2009,37273.98,2641.77,8971.12,19.6,2645,1.7,21597.18
Automobile,2015,45042.94,6151.37,64702.99,10.98,4487,4.69,32800.34
Steel,2011,41010.93,3314.73,92230.4,48.58,1813,5.38,23158.52
Paper,2019,49523.53,2247.64,30696.38,54.34,6910,7.89,24110
Textile,2004,10012.55,940.71,58334.91,30.64,7249,9.03,4266.01
Chemical,2001,4794.01,6245.04,94081.69,18.3,7308,4.04,14679.59
Steel,2009,17181.64,8832.65,72212.93,30.67,5733,5.75,25246.77
Textile,2000,6885.71,3578.79,7170.22,52.74,4169,6.83,8042.71
Cement,2006,26394.94,5571.42,38494.98,41.48,2023,3.96,22000.45
Textile,2016,31834.93,6457.12,9491.5,51.52,2509,9.87,25286.18
Chemical,2015,29125.29,4205.04,86270.44,19.7,3038,8.88,20503.87
Textile,2023,13332.39,9043.14,62544.61,42.72,7474,3.67,23745.28
Power,2002,45486.79,3691.28,95681.79,39.18,2393,5.57,26354.27
Chemical,2013,1548.03,1337.61,2955.88,34.3,6239,3.08,1897.76
Automobile,2009,17726.66,1525.8,42885.65,31.69,3346,5.63,9390.56
Cement,2021,36090.13,8919.49,11332.05,33.06,1855,7.15,33683.04
Power,2006,38462.98,9881.28,35698.29,50.98,2166,1.77,36795.56
Automobile,2016,21097.87,2960.48,17026.8,54.96,3754,8.83,12749.1
Textile,2005,1337.04,1521.67,33550.58,6.77,2665,6.34,2917.74
Chemical,2022,31093.16,4873.9,82106.94,34.13,5038,9.91,22160.1
Cement,2021,3623.19,7124.33,16909.23,55.1,7020,1.23,14952.36
Power,2003,5838.86,6162.79,47892.81,8.08,2972,8.48,14844.82
Automobile,2016,32687.41,9515.97,92236.73,24.77,7060,8.13,33678.07
Automobile,2008,15968.17,8196,99879.15,5.34,4687,2.2,24739.28
Cement,2003,17727.49,8702.82,25813.47,6.81,2116,4.02,26368.77
Paper,2006,24596.95,5462.5,93621.25,54.25,4368,8.96,19840.93
Textile,2022,48939.63,3340.02,26877.48,26.77,5542,5.67,27619.68
Cement,2001,48289.39,7047.19,41939.32,41.32,7623,4.61,35028.04
Automobile,2016,21104.92,4446.63,87914.44,8.33,1733,9.15,17848.6
Steel,2023,13642.21,2948.77,78831.43,1.32,4783,1.84,12352.69
Power,2007,15478.31,1607.48,85891.27,53.43,6919,5.26,7733.3
Cement,2022,13804.67,5325.95,80225.41,34.47,3921,6.87,15725.99
Paper,2014,26846.17,5983.11,24271.04,1.2,4329,6.48,24418.02
Automobile,2014,30539.56,5730.98,56320.72,59.54,5617,3.38,23563.76
Textile,2007,24694.58,1253.83,39139.82,29.53,2706,6.07,11961.39
Automobile,2015,20695.72,5742.87,46511.39,28.55,6494,7.38,19919.79
Textile,2018,10958.61,1767.3,16241.67,37.25,4498,6.26,6578.23
Cement,2010,24384.03,6670.77,32260.99,0.47,2124,7.16,24770.51
Textile,2001,17384.58,4350.9,85907.07,34.15,5717,3.3,15633.04
Chemical,2022,27308.98,8503.01,89858.28,37.77,5854,8.5,28464.86
Chemical,2023,33921.88,7804.83,61405.16,17.82,2858,5.05,31116.67
Chemical,2016,31848.95,7271.38,50328.46,43.61,3291,9.89,27397.86
Paper,2015,23393.27,7037.3,71571.13,22.65,7166,1.21,24957.83
Paper,2024,28024.6,5648.83,61276.47,43.07,6473,4.42,22785.3
Steel,2014,14600.38,705.02,98383.83,8.63,3513,2.62,7461.62
Paper,2012,1699.89,6589.35,19818.79,54.82,5960,6,12348.72
Cement,2014,31438.46,4722.53,45455.43,52.77,4515,3.19,22043.27
Automobile,2003,13002.14,4748.59,91905.81,9.04,3000,7.64,15019.46
Automobile,2015,33613.21,3852.32,91558.97,56.31,2797,8.94,20275.85
Steel,2011,37476.92,9297.8,50039.34,33.47,3316,2.9,35632.97
Paper,2003,45838.42,2569.57,14346.09,42.1,3580,2.45,24302.34
Textile,2002,47927.08,3234.29,81680.84,50.42,3014,8.88,25600.22
Steel,2021,1021.04,9634.1,58931.35,5.01,7457,4.25,20944.09
Textile,2016,49523.52,8120.52,77543.44,10.16,3167,4.91,39155.13
Textile,2021,34309.41,239.46,46789.84,17.42,4028,2.99,14910.45
Power,2017,32354.45,9070.47,21184.51,28.63,2947,4.83,32789.74
Automobile,2024,1253.05,2343.81,3374.95,20.76,2143,3.08,4520.25
Chemical,2017,43131.05,7088.73,56354.69,30.35,5805,6.99,32951.38
Paper,2022,7701.83,5575.42,16943.57,11.16,5231,5.49,14626.55
Textile,2016,41947.84,5414.44,19526.58,40.93,4148,8.09,28180.3
Power,2011,1270.35,7207.42,44194.26,3.34,1935,3.81,15837.18
Automobile,2022,32475.23,2151.1,44765.63,21.69,4157,5.55,17812.67
Chemical,2020,22022.68,1674.35,28164.32,10.74,1000,3.34,12763.38
Textile,2023,10437.95,6553.93,14060.3,43.8,1076,9.41,16234.52
Textile,2003,5824.29,2976.73,94550.32,53.02,6056,5.7,6364.94
Steel,2011,22286.32,9742.11,14032.42,4.73,6641,2.56,30965.09
Steel,2022,6603.64,4569.97,35726.49,47.1,3628,3.45,10727.57
Automobile,2021,24579.11,1204.81,31181.93,53.74,7134,1.75,11351.58
Chemical,2020,31448.24,6889.57,86767.45,58.44,3195,1.25,26821.16
Textile,2019,41455.52,3130.98,41596.18,34.76,1573,5.73,23465.14
Automobile,2014,34093.15,1571.02,13280.31,19.64,2548,4.03,17528.96
Automobile,2022,3727.39,4285.95,2015.84,19.32,1185,9.67,9173.22
Cement,2015,15717.91,9645.8,72473.01,22.74,6796,2.54,27079.42
Paper,2004,14754.94,4173.16,71735.61,36.76,5617,8.15,13372.28
Steel,2020,45794.1,3538.6,42360.58,29.41,4842,3.84,26755.06
Chemical,2014,43455.21,4500.64,13504.49,39.22,7305,3.01,27526.25
Textile,2016,18822.32,219.95,37791.75,2.36,7045,9.73,7691.93
Automobile,2017,4022.19,1417.71,59398.36,6.35,4492,8.22,3688.55
Textile,2004,44758.31,8511.78,70690.35,58.59,3243,6.68,35721.96
Cement,2012,44465.4,9782.54,8745.75,59.72,1033,7.27,38269.82
Chemical,2018,42809.93,1663.62,56074.44,44.8,2620,9.92,19942.03
Automobile,2012,42331.54,5401.63,28336.28,15.38,6689,6.34,29556.78
Textile,2017,24272.57,9666.7,62109.36,57.2,2896,1.92,29671
Steel,2013,9282.87,1650.16,65165.87,12.82,3455,1.58,7105.24
Paper,2003,24135.66,1944.47,91149.77,43.89,2800,7,12543.28
Cement,2003,24982.59,9275.48,41627.46,6.92,6416,6.92,30541.02
Chemical,2019,24751.62,7086.31,54221.48,38.93,7039,7.73,24243.31
Cement,2019,27169.24,1604.47,27553.3,45.57,5632,1.98,13695.59
Steel,2018,13254.02,3995.58,29369.15,51.58,3083,9.5,11551.38
Chemical,2012,18628.94,657.07,5557.34,44.06,6383,5.96,7350.98
Cement,2011,21992.24,4383.45,29320.83,55.41,2405,6.85,16501.7
Power,2006,6990.5,7801.22,7319.04,31.26,7257,1.31,18900.81
Steel,2024,23040.52,5584.32,96427.66,40.65,4688,9.65,19869.74
Steel,2011,40618.25,6509.68,62802.06,22.17,3652,6.06,30985.51
Steel,2020,41488.95,3335.52,18141.71,0.62,5538,6.07,25254.97
Power,2003,20872.41,1697.82,12559.87,45.4,2186,9.49,10172.99
Power,2001,26181.01,229.86,37642.14,52.19,5133,9.36,9076.35
Textile,2001,2165.69,8230.99,31457.09,10.44,3139,2.98,18307.54
Automobile,2004,33884.41,6402.88,28646.22,1.72,3678,9.38,28139.92
Paper,2022,20527.99,2370.28,47351.41,9.87,4794,7.63,13141.81
Cement,2009,22551.15,4242.5,91374.51,53.72,3719,1.17,17192.32
Textile,2009,43746.8,8034.29,57236.98,17.73,7244,3.16,36273.1
Cement,2008,23360.8,5433.13,52601.92,14.02,5602,4.72,21338.05
Paper,2012,1549.02,3071.58,80848.3,0.88,3226,6.25,6669.34
Automobile,2006,11760.8,2745.13,1398.44,17.82,3331,7.31,9741.65
Power,2004,24043.22,2254.38,20541.18,42.94,5023,2.89,13714.69
Automobile,2009,21507.62,8254.93,50122.41,57.55,5450,8.53,24513.68
Power,2009,43088.32,5860.42,70825.6,18.76,7023,8.61,30499.07
Paper,2005,27335.81,7120.66,49017.79,14.44,4368,6.71,26583.77
Automobile,2018,34636.97,8615.19,17207.88,53.28,4957,9.29,31294.05
Textile,2020,23731.5,9869.93,93068.3,51.15,6654,8.32,29348.62
Chemical,2007,22262.96,2569.89,33537.85,19.69,7069,2.99,14525.69
Textile,2000,22591.19,1890.93,79033.35,4.13,1487,8.19,13178.08
Cement,2016,20840.62,4673.78,89249.92,59.52,6101,9.58,16130.2
Textile,2006,27159.88,447.21,35298.49,40.84,1278,2.24,11303.41
Paper,2013,12896.95,7938.01,84685.87,55.59,3591,9.81,19866.45
Steel,2020,44607.23,8849.22,71366.59,20.51,1649,1.22,38574.74
Cement,2020,16987.73,6891.79,90523.8,38.86,3978,5.7,20568.02
Automobile,2016,7802.43,2753.15,25879.76,40.47,1354,7.97,6992.82
Cement,2008,5279.25,1319.24,93196.48,52.37,3242,8.11,2209.99
Chemical,2016,1164.43,3883.23,7465.34,59.58,5899,7.61,5770.7
Power,2004,21431.38,8350.02,79573.46,6.52,7236,5.76,27062.16
Automobile,2024,9786.74,3543.5,44130.84,37.87,3480,6.86,9861.73
Cement,2019,1571.57,439.12,18611.11,20.19,1557,7.3,-10.33
Automobile,2007,26240.97,2815.38,8860.89,48.7,6146,5.45,15400.27
Automobile,2005,34158.94,9900.46,39565.2,45.25,4486,6.36,34579.34
Automobile,2010,4744.68,6799.02,39543.07,53.55,1161,8.62,13916.55
Power,2018,23315.58,9018.46,23765.78,20.62,7244,3.82,29049.42
Paper,2003,37309.62,7771.17,22336.02,11.07,1698,5.71,32757.9
Textile,2017,49297.44,5443.08,40551.92,1.31,2973,1.08,33976.62
Automobile,2000,33525.92,1572.02,41601.27,15.33,4544,7.19,17069.11
Steel,2012,12619.56,3551.58,44794.12,22.03,4777,2.76,12279.88
Paper,2013,35969.41,5879.03,87007.18,56.76,3205,5.33,26210.1
Chemical,2023,30097.51,8719.26,61514.2,29.48,1491,2.89,31200.25
Power,2000,10984.06,2759.88,3022.88,33.39,2992,1.21,9533.76
Cement,2010,42629.99,1300.15,52390.82,52.81,2032,5.35,19289.43
Power,2016,21656.52,5632.44,76482.68,53.1,4283,4.82,19434.4
Cement,2003,48117.89,1847.36,6585.02,31.67,4510,4.83,23870.84
Power,2011,36283.6,6142.58,42838.18,6.82,7016,2.88,29222.9
Cement,2009,32405.88,2708.86,45669.8,16.23,5919,9.52,18750.54
Automobile,2005,36553.47,2386.53,95448.02,27.41,5774,1.03,20479.43
Textile,2024,24165.8,4051.89,48092.71,45.07,6974,9.02,16903.57
Cement,2000,25508.71,5972.6,75240.13,42.7,1785,7.63,21995.04
Cement,2006,42634.77,5498.64,30987.3,38.56,2833,2.55,29434.25
Steel,2020,34205.96,2522.87,78151.36,52.81,1991,5.25,18200.6
Cement,2015,44913.54,8922.06,32943.57,48.16,5206,9.9,36725.22
Steel,2023,44595.92,1187.83,43572.34,58.93,7984,6.79,19509.39
Chemical,2013,48836.26,490.73,48468.75,53.35,7346,2.15,20663.92
Automobile,2022,35160.63,6066.79,92709.93,11.74,2783,5.12,28085.22
Steel,2019,25363.94,1321.73,6291.9,3.46,6184,5.21,13557.98
Textile,2019,8732.43,5098.42,20489.85,24.87,6834,8.22,13164.92
Paper,2005,35416.34,9522.56,70868.53,37.05,2184,9.25,34294.98
Automobile,2021,14933.1,7015.94,58180.19,38.59,3461,1.74,20402.56
Steel,2024,14505.9,6212.82,25901.61,16.05,2668,3.83,19094.26
Automobile,2004,12295.24,5790.57,29630.89,51.59,7833,3.69,15765.71
Automobile,2023,43818.54,1877.44,37363.64,19.75,6824,9.96,21863.51
Automobile,2020,43464.24,4383.21,45584.35,55.15,3313,6.03,26272.37
Chemical,2017,31733.04,3490.98,81984.71,28.3,1571,8.92,19757.62
Textile,2014,23912.56,9535.44,2367.73,0.62,5300,4.83,31134.22
Power,2005,33769.67,2498.97,89903.95,9.72,4738,7.5,19405.29
Power,2024,30557.86,4768.01,41889.68,6.14,1583,3.58,23565.46
Steel,2018,21078.85,9386.99,23819.25,2.64,3220,9.21,28926.06
Automobile,2000,19291.73,7912.89,51332.86,42.84,1307,5.1,23764.04
Steel,2000,19448.32,9648.7,66307.33,11.54,5545,8.23,28529.68
Chemical,2012,29662.1,6122.47,5430.47,50.32,1061,3.3,24408.58
Chemical,2002,32559.63,3404.49,71861.96,15.87,6579,7.24,20638.11
Cement,2009,22861.22,8283.83,76315.36,1.94,5570,4.65,27876.38
Chemical,2020,48450.23,2985.42,17452.05,49.24,4788,1.28,26247.33
Cement,2002,4650.36,1731.25,17620.26,27.97,6691,4.72,4216.21
Textile,2008,17678.83,7092.26,21174.67,35.97,3133,5.95,21405.65
Steel,2007,21244.2,6425.66,79866.24,20.17,2959,2.37,22605.14
Paper,2002,1337.61,8801.59,27928.3,2.76,6126,2.66,19535.82
Textile,2024,18565.38,9623.06,79797.65,22.21,7438,5.18,28015.15
Chemical,2012,14048.64,8586.26,54511.86,31.1,3032,4.08,23478.06
Textile,2005,25548.8,694.22,76949.96,0.7,4762,4.97,12399.84
Textile,2012,17152.32,6678.68,55813.63,34.46,3786,5.15,20415.24
Textile,2022,36446.02,7868.85,34241.12,53.58,2542,2.26,31297.78
Chemical,2019,25741.66,9821.09,91160.7,13.07,2675,2.63,32351.75
Paper,2019,6923.23,3809.15,71814.27,55.61,5621,8.63,8235.58
Automobile,2011,37628.04,1781.83,48921.43,5.86,1033,2.46,20323.04
Textile,2012,5411.83,8544.04,64105.42,49.53,4961,6.99,18412.21
Cement,2001,42032.93,3242.92,61968.49,50.42,3799,4.77,23460.04
Chemical,2020,46605.4,6022.2,36453.51,15.47,2855,9.71,32437.27
Textile,2023,16461.04,3959.96,42953.4,57.47,4680,1.59,13629.78
Paper,2022,46344.06,4083.03,32507.42,25,7923,8.47,27821.09
Automobile,2015,39753.9,7351.4,99952.3,8.48,3685,5.42,33072.74
Chemical,2022,46160.56,3678.6,58426.38,35.5,2057,1.05,27319.17
Power,2005,33480.37,6961.44,10113.48,59.8,7938,3.37,27584.93
Automobile,2018,12164.38,241.85,52391.61,53.96,5501,4.67,3287.24
Cement,2020,44778.9,3314.01,5946.23,16.72,6137,3.83,26312.93
Textile,2012,9621.12,3258.54,29576.55,34.62,7571,4.26,9602.29
Paper,2016,11046.5,7513.47,45150.15,6.92,3961,9.25,20113.76
Power,2022,13917.62,3214.12,53892.78,27.71,5388,4.25,11715.59
Paper,2008,15560.19,6369.94,97641.96,31.38,7022,4.77,19188.35
Power,2016,25966.74,6916.39,98239.95,18.92,3627,7.85,25202.29
Chemical,2001,35816.14,6618.41,10708.87,29.05,4820,8.14,28538.96
Power,2018,46347.3,6072.61,54275.13,55.2,4157,1.76,31796.83
Cement,2018,4877.66,4194.81,81893.83,30.01,4643,7.34,9342.33
Cement,2023,47741.28,3795.72,24533.57,49.86,7191,5.34,27198.96
Steel,2006,46105.49,5689.38,75305.75,19.04,4762,2.2,32238.51
Cement,2021,3172.96,730.66,87983.29,58.28,6987,3.38,298.48
Automobile,2009,18335.9,8770.62,66586.25,5.61,3131,1.41,27152.92
Power,2009,40750.6,8270.62,33442.63,35.14,1606,4.24,34618.73
Cement,2019,30773.04,3529.21,92390.1,47.39,3355,3.3,19320.53
Chemical,2008,39065.15,5711.51,88468.49,48.84,3299,4.44,27658.24
Paper,2016,36092.15,9329.05,71866.71,11.9,6600,6.22,35542.98
Paper,2014,25090.12,2789.2,37003.14,24.1,4916,7.59,15551.99
Steel,2001,2540.29,7450.31,79397.74,37.45,5275,6.45,15261.81
Paper,2003,29421.28,919.04,32294.79,18.95,2333,7.11,13650.26
Power,2018,2904.05,5281.38,26042.33,39.5,5008,8.79,10291.06
Steel,2016,30384.47,8851.29,51986.33,22.73,3473,8.86,31173.45
Power,2004,40120.34,5561.92,99716.39,21.05,7143,8.75,28398.38
Chemical,2006,29457.09,6200.9,80627.87,6.48,4557,2.38,26352.87
Steel,2017,49852.58,9085.63,73249.48,2.36,4733,3.26,41936.45
Textile,2020,23065.39,7182.07,45749.26,50.12,3086,5.52,23512.78
Automobile,2021,37566.96,6989.11,31883.05,29.37,4350,4.23,30598.77
Automobile,2006,33527.06,5905.2,85734.18,33.77,5911,2.19,26465.02
Power,2016,49575.87,6366.59,57205.55,22.33,7768,3.59,34991.64
Paper,2006,35804.34,8056.68,81512.24,8.2,1375,9.78,32335.05
Textile,2003,8619.52,9794.41,49287.62,26.97,2952,4.12,23853.29
Steel,2007,47798.13,7973.72,75641.79,13.74,4710,4.77,37929.34
Textile,2012,33554.97,7104.61,86906.36,50.26,3088,1.06,28592.28
Textile,2003,3437.24,1441.89,39747.61,59.21,2693,7.47,1454.12
Paper,2005,33049.63,8189.1,2343.39,53.35,6837,4.72,30187.95
Steel,2024,44214.41,7386.34,26237.73,31.7,7190,1.93,34646.83
Chemical,2004,29063.57,7727.28,91576.59,37.69,4555,9.72,27404.62
Paper,2011,18023.97,2387.86,69066.68,56.89,5280,8,10128.48
Textile,2003,41135.03,9044.09,73984.65,32.32,1071,7.54,36210.16
Textile,2023,39234.34,1063.09,33203.57,38.32,7712,9.62,17307.05
Chemical,2008,27437.02,2610.76,70426.03,37.75,2774,4.67,16019.93
Textile,2003,8140.91,6663.93,64981.93,42.49,1573,7.47,15728.06
Textile,2018,12923.83,6769.77,18658.99,38.42,7485,2.86,18829.22
Textile,2023,37054.96,3201.91,96900.39,40.24,5664,7.27,21236.93
Automobile,2013,40401.07,7045.05,36048.53,43.55,6059,1.13,31801.99
Paper,2004,14323.63,3940.51,33599.41,48.55,6362,2.14,12915.96
Cement,2017,18715.26,101.74,37546.99,24.18,5066,4.83,7098.9
Paper,2009,4342.78,1709.8,10080.24,44.75,7471,1.11,3792.61
Chemical,2024,35816.37,8837.92,62871.39,6.01,7113,5.16,34701.19
Textile,2018,677.09,2304.67,24623.8,52.57,4707,5.71,2586.96
Paper,2011,2803.81,1217.81,80527.96,17.4,7101,6.59,2454.1
Automobile,2017,715.03,6853.79,40021.46,24.21,1152,1.9,14203.7
Chemical,2016,32443.32,4462.99,46397.29,48.22,6374,2.63,22173.67
Power,2023,21160.66,7986.25,64995.78,38.22,1728,6.52,24780.85
Paper,2010,15228.56,8628.3,76425.24,18.52,6543,6.92,24263.91
Power,2002,45678.7,8475.29,23880.42,13.52,3279,1.23,38512.65
Textile,2022,10043.74,3198.79,96663.14,57.46,2552,5.86,8555.42
Automobile,2016,19773.72,5104.9,62609.83,5.27,4663,8.06,18950.95
Automobile,2000,47045.43,6536.4,1558.22,0.26,4567,1.62,35345.72
Paper,2014,21641.77,3287.63,42146.6,40.38,5271,4.72,14789.98
Chemical,2008,27957.34,506.88,44244.96,36.87,7694,3.94,11748.34
Chemical,2014,4476.67,5007.08,81107.33,44.26,7141,9.22,10153.28
Automobile,2023,39613.24,226.9,31208.84,43.9,7286,2.67,16248.74
Chemical,2002,21426.56,9511.39,33791.43,51.8,7160,3.87,28030.61
Automobile,2021,40125.5,7987.17,7978.92,55.33,5344,9.09,32324.25
Paper,2018,13062.98,2000.9,29071.06,46.5,4106,3.98,7942.72
Cement,2012,21412.7,2946.96,71979.21,13.94,5896,5.78,14867.83
Automobile,2011,39434.17,9830.1,63840.94,27.81,1999,1.3,38103.2
Power,2019,48706.95,3798.13,9058.01,38.5,7289,9.86,27550.81
Chemical,2000,3451.46,7858.85,12354.7,32.36,6021,8.42,16537.83
Automobile,2020,40716.58,4523.47,38315.67,9.53,7870,6.71,27087.7
Automobile,2016,15384.11,8654.55,74632.02,35.36,7308,1.55,24362.46
Paper,2012,27761.79,7067.16,83458.91,53.19,2134,1.67,25712.56
Chemical,2000,14859.57,326.81,2447.78,25.11,5742,5.9,5693.39
Cement,2009,30865.55,3014.46,33572.05,40.14,4145,3.57,18487.31
Paper,2014,18013.24,5624.12,43001.92,36.96,3715,6.61,18207.42
Cement,2006,17013.94,9269.12,91202.15,22.62,1353,6.38,26377.94
Paper,2021,2377.95,1110.1,50639.25,33.92,6393,8.55,1129.5
Chemical,2017,7774.54,6051.51,27700.38,12.61,6038,3.53,15883.87
Steel,2015,45895.37,3091.55,39614.66,32.77,2302,6.2,25399.53
Chemical,2013,49914.73,8904.35,44207.01,47.93,5082,8,39174
Chemical,2017,39135.77,7675.18,67329.59,45.54,4731,5.42,32024.49
Cement,2006,14697.22,3760.06,5067.69,21.48,5621,8.48,13009.08
Cement,2016,20421.03,1754.32,39555.71,6.73,6654,2.18,12518.17
Chemical,2017,37105.42,213.83,65008.91,48,1509,7.61,14334.66
Chemical,2011,48441.42,6249.23,29048.91,15.9,2537,9.49,33772.14
Chemical,2007,23045.82,4120.63,59583.35,3.18,1177,3.99,18830
Cement,2021,41561.36,3216.09,36370.61,26.71,3376,4.3,24193.61
Chemical,2001,48765.91,9856.47,76113.37,44.37,1800,1.75,41644.09
Chemical,2006,43736.92,4714.81,6999.17,48.51,7831,6.77,27301.4
Textile,2003,11743.91,7523.41,91878.24,58.93,4243,5.97,18762.66
Steel,2017,897.58,1856.38,17989.64,11.36,6515,1.36,3870.35
Power,2005,24858.04,233.21,16696.16,17.63,4666,7.77,10061.58
Steel,2008,26802.36,4233.87,84223.65,36.57,1937,8.46,18897.58
Textile,2008,10461.89,6690.08,87059.01,48.68,4027,9.16,16379.63
Power,2013,14591.38,5115.33,10204.36,14.04,3020,5.91,16549.05
Paper,2007,38375.08,8915.62,90963.17,24.59,3782,5.07,35291.15
Chemical,2018,23782.19,4396.4,28056.49,24.5,7440,8.89,18327.27
Textile,2002,16209.03,3178.93,62243.55,46.38,4540,4.59,11881.71
Paper,2017,31319.99,9168.88,7790.76,14.46,2974,6.9,32859.13
Chemical,2004,32811.61,4127.34,38685.45,58.13,2518,6.54,20735.37
Cement,2013,38585.09,2769.51,45621.74,30.63,3669,4.35,21709.01
Automobile,2003,8257.11,1066.84,60382.83,16.92,2258,1.78,5172.35
Textile,2006,37205.1,7953.77,53001.93,17.06,4110,1.19,33415.39
Cement,2019,30171.71,8268.41,46687.8,1.1,2242,4.85,31141.77
Textile,2024,3349.81,429.65,96004.38,41.55,6336,5.33,151.04
Textile,2011,38983.56,3650.59,19317.25,46.56,3753,8.4,22703.5
Cement,2001,19462.47,7523.78,16641.43,1.95,6794,4.73,24664.83
Power,2010,16853.86,9469.18,71628.49,35.16,3675,3.53,26586.43
Steel,2013,22679.72,3840.4,8380.64,46.9,6959,5.16,16159.55
Chemical,2021,17635.67,8733.33,48806.25,22.57,7816,3.14,25869.78
Textile,2022,17245.14,3997.83,48921.26,25.96,4672,1.82,15298.74
Chemical,2015,40499.84,1877,31692.51,21.7,1419,2.02,21243.93
Automobile,2019,6663.01,134.12,93113.93,18.94,1652,3.87,2071.42
Cement,2005,48544.7,3368.79,28971.8,29.47,3871,1.11,27944.45
Chemical,2022,27969.12,3846.9,29555.75,9.97,4245,2.98,20292.88
Cement,2003,9554.74,9456.66,24195.7,26.44,7856,8.09,23075.89
Chemical,2014,6995.17,2140.1,15433.02,56.51,5909,3.11,5222.45
Steel,2023,29779.72,3884.08,37037.09,1.64,1867,2,21640.25
Steel,2024,31833.47,349.03,68407.84,9.88,5208,9.54,13552.93
Steel,2000,3124.78,7659.04,74474.12,46.66,3987,6.6,15597.64
Steel,2006,12528.59,9159.9,81528.47,7.92,1173,1.54,25288.05
Steel,2024,39875.37,2454.42,20556.84,16.28,6106,1.56,22505.24
Steel,2011,2956.42,4347.05,4527.64,27.29,7217,6.51,9021.1
Cement,2009,42826.89,1308.91,97493.9,56.59,5732,5.86,19184.9
Textile,2004,33079.04,4622.67,2418.92,11.01,2559,1.62,24420.64
Chemical,2011,22003.95,1420.09,96107.2,55.39,5127,3.02,10447.98
Steel,2017,17648.43,5281.15,83052.63,43.11,5592,9.36,16712.72
Cement,2009,1452.82,7372.76,91295.4,40.27,3242,6.15,14525.04
Cement,2005,41348.14,5578.09,39331.39,43.41,5623,4.96,28546.86
Cement,2011,7564.73,2527.67,20523,1.87,3488,3.25,8500.2
Textile,2006,15822.33,3602.58,61039.9,5.93,2512,2.2,14544.52
Chemical,2017,28670.8,6421.87,74383.87,20.09,6616,4.62,25671.97
Textile,2001,12676.63,5938.58,13955.25,4.44,3771,9.3,17475.76
Power,2009,25108.45,1454.07,79964.53,59.26,2643,1.44,11954.56
Paper,2014,40562.47,8465,21650.74,34.82,1023,9.92,34292.91
Cement,2011,23791.63,4804.37,49676.05,29.24,3337,2.87,19761.85
Power,2016,47474.38,1707.46,85791.76,47.13,3943,4.68,22673.08
Automobile,2003,42451.28,1315.98,20149.03,58.62,7451,1.41,19484.23
Steel,2006,16985.44,9658.96,24946.58,57.31,5399,6.26,25849.56
Paper,2008,20298.13,2887.2,7214.34,47.58,5726,5.35,12940.8
Steel,2018,21454.67,9095.08,15514.8,22.63,2716,7,27918.58
Textile,2022,31495.88,4164.79,15506.06,3.96,5133,5.88,22471.68
Paper,2006,14696.39,3920.62,21139.32,5.9,7529,4.58,14453.14
Chemical,2022,48477.83,7039.2,29333.84,0.07,1744,7.64,36381.66
Power,2001,30629.87,197.84,81683.35,0.11,6700,1.23,14066.69
Chemical,2005,20270.38,3447.09,91660.62,56.19,5177,5.87,13753.27
Textile,2017,32427.99,3096.19,41221.78,55.62,6237,2.02,18937.01
Steel,2005,20072.55,8694.17,13692.69,40.05,6940,4.92,25967.42
Paper,2012,40980.89,5338.32,23157.18,43.6,1049,8.12,27467.3
Chemical,2018,28608.13,3709.24,73884.39,30.79,7812,2.28,19528.79
Chemical,2001,2577.54,2734.19,68065.13,14.27,7217,9.42,5473.91
Steel,2011,9249.46,5946.05,96753.52,54.86,4049,9,13969.17
Paper,2014,43317.2,1601.56,2434.38,16.66,3742,4.73,21782.17
Power,2013,28363.54,2537.43,75325.12,44.38,6225,1.05,16444.74
Steel,2005,47542,3006.76,51073.57,14.73,4889,8.11,26446.37
Chemical,2017,4084.9,6118.3,90366.6,52.21,2622,8.93,12138.47
Power,2004,15115.4,3795.22,58040.5,39.07,4397,2.57,13280.21
Power,2017,10080.4,5107.25,45220.1,38.56,7827,9.25,13119.73
Steel,2002,27915.09,6539.34,66919.21,5.84,2787,9.23,25607.14
Chemical,2002,19448.25,9567.09,83518.82,25.17,7499,5.24,28163.71
Textile,2021,8285.04,7671.89,28967.36,31.49,6775,8.18,18365.23
